ID,Names,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7
Default,TPM0_1,PTD1,"[Disabled, PTA4, PTC2, PTD1, PTE25]",,,,,,
Default,TPM0_2,PTA5,"[Disabled, PTA5, PTC3, PTD2, PTE29]",,,,,,
Default,TPM0_3,PTC4,"[Disabled, PTC4, PTD3, PTE30]",,,,,,
Default,TPM0_4,PTC8,"[Disabled, PTC8, PTD4, PTE31]",,,,,,
Default,TPM0_5,PTC9,"[Disabled, PTA0, PTC9, PTD5]",,,,,,
Default,TPM1_0,PTA12,"[Disabled, PTA12, PTB0, PTE20]",,,,,,
Default,TPM1_1,PTA13,"[Disabled, PTA13, PTB1, PTE21]",,,,,,
Default,TPM2_0,PTA1,"[Disabled, PTA1, PTB2, PTB18, PTE22]",,,,,,
Default,TPM2_1,PTA2,"[Disabled, PTA2, PTB3, PTB19, PTE23]",,,,,,
,,,,,,,,,
Alias,A0,PTB0,,,,,,,
Alias,A1,PTB1,,,,,,,
Alias,A2,PTB2,,,,,,,
Alias,A3,PTB3,,,,,,,
Alias,A4,PTC2,,,,,,,
Alias,A5,PTC1,,,,,,,
Alias,A6,PTE30,,,,,,,
Alias,A7,PTE29,,,,,,,
Alias,A8,PTE23,,,,,,,
Alias,A9,PTE22,,,,,,,
Alias,A10,PTE21,,,,,,,
Alias,A11,PTE20,,,,,,,
Alias,A13,PTE5,,,,,,,
Alias,A14,PTE4,,,,,,,
Alias,A15,PTE3,,,,,,,
Alias,A16,PTE2,,,,,,,
Alias,A17,PTB11,,,,,,,
Alias,A18,PTB10,,,,,,,
Alias,A19,PTB9,,,,,,,
Alias,A20,PTB8,,,,,,,
Alias,D0,PTA1,,,,,,,
Alias,D1,PTA2,,,,,,,
Alias,D2,PTD4,,,,,,,
Alias,D3,PTA12,,,,,,,
Alias,D4,PTA4,,,,,,,
Alias,D5,PTA5,,,,,,,
Alias,D6,PTC8,,,,,,,
Alias,D7,PTC9,,,,,,,
Alias,D8,PTA13,,,,,,,
Alias,D9,PTD5,,,,,,,
Alias,D10,PTD0,,,,,,,
Alias,D11,PTD2,,,,,,,
Alias,D12,PTD3,,,,,,,
Alias,D13,PTD1,,,,,,,
Alias,D14,PTE1,,,,,,,
Alias,D15,PTE0,,,,,,,
Alias,D16,PTC7,,,,,,,
Alias,D17,PTC0,,,,,,,
Alias,D18,PTC3,,,,,,,
Alias,D19,PTC4,,,,,,,
Alias,D20,PTC5,,,,,,,
Alias,D21,PTC6,,,,,,,
Alias,D22,PTC10,,,,,,,
Alias,D23,PTC11,,,,,,,
Alias,D24,PTC12,,,,,,,
Alias,D25,PTC13,,,,,,,
Alias,D26,PTC16,,,,,,,
Alias,D27,PTC17,,,,,,,
Alias,D28,PTA16,,,,,,,
Alias,D29,PTA17,,,,,,,
Alias,D30,PTE31,,,,,,,
Alias,D32,PTD6,,,,,,,
Alias,D33,PTD7,,,,,,,
,,,,,,,,,
,,,Optional mask name,,,,,,
ClockInfo,TPM0,SIM->SCGC6,,,,,,,
ClockInfo,TPM1,SIM->SCGC6,,,,,,,
ClockInfo,TPM2,SIM->SCGC6,,,,,,,
ClockInfo,ADC0,SIM->SCGC6,,,,,,,
ClockInfo,I2C0,SIM->SCGC4,,,,,,,
ClockInfo,I2C1,SIM->SCGC4,,,,,,,
ClockInfo,SPI0,SIM->SCGC4,,,,,,,
ClockInfo,SPI1,SIM->SCGC4,,,,,,,
